name,kitchen,meal,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vitamin_a,vitamin_c,calcium,iron,water,potassium,vitamin_d,serving_size,serving_unit
Awesome Blossom Sauce,Clark Kerr Campus,Dinner,165.30188679245282,17.745283018867923,2.4150943396226414,0.0,16.113207547169807,217.86792452830187,1.0,0.09433962264150944,0.7735849056603773,0.03773584905660377,0.0,0.0,1.650943396226415,0.009433962264150943,0.0,7.264150943396226,0.0,1.0,oz
Fried Onion Rings,Clark Kerr Campus,Dinner,90.98756218905473,7.328358208955225,0.992537313432836,0.0,4.00497512437811,116.16169154228858,5.378109452736319,0.23880597014925375,1.238805970149254,0.4378109452736319,0.0,0.0,2.549751243781095,0.23880597014925375,0.0,18.905472636815922,0.0,1.0,oz
Creamy Pesto,Clark Kerr Campus,Dinner,73.26651851851851,6.818074074074074,1.8994074074074074,0.0,8.655111111111111,178.3581851851852,1.601740740740741,0.0,0.0,1.5252222222222223,0.0,0.0,47.13107407407407,0.12755555555555556,0.0,30.866962962962962,0.0,1.0,oz
Halal Ground Beef,Clark Kerr Campus,Dinner,73.14460784313725,5.894607843137255,2.08578431372549,0.3137254901960784,18.924019607843135,66.25735294117646,0.061274509803921566,0.03431372549019608,0.007352941176470588,4.6078431372549025,1.0661764705882353,0.0,6.16421568627451,0.5784313725490196,16.487745098039216,77.43872549019608,0.024509803921568627,1.0,oz
Orecchiette Pasta,Clark Kerr Campus,Dinner,45.761381475667186,0.47095761381475665,0.03610675039246468,0.0,0.0,92.34536891679748,8.910518053375196,0.6514913657770801,0.4332810047095761,1.737833594976452,0.0,0.0,0.0,0.39089481946624804,15.770800627943483,25.642072213500786,0.0,1.0,oz
Macaroni and Cheese Pasta,Clark Kerr Campus,Dinner,45.075,2.475,0.5625,0.0,2.8125,107.9975,4.275,0.1125,0.0,1.4625,0.0,0.0,27.0,0.035,0.0,65.25,0.0,1.0,oz
Baked BBQ Tofu,Clark Kerr Campus,Dinner,38.886639676113354,1.1680161943319836,0.0,0.0,0.0,60.85222672064777,3.265182186234817,0.5465587044534412,2.47165991902834,3.7955465587044532,0.5728744939271255,0.2145748987854251,52.64574898785425,0.016194331983805668,1.0283400809716599,54.23886639676113,0.0,1.0,oz
Chicken Breast,Clark Kerr Campus,Dinner,36.12533333333333,1.032,0.18933333333333333,0.0026666666666666666,20.288,64.93866666666666,0.008,0.005333333333333333,0.0,6.256,2.5013333333333336,0.0,1.5893333333333333,0.10933333333333332,20.536,93.62133333333333,0.0,1.0,oz
Garbanzo Beans,Clark Kerr Campus,Dinner,28.284289276807982,0.43640897755610975,0.0,0.0,0.0,79.42892768079801,4.783042394014963,0.8703241895261846,0.6508728179551122,1.518703241895262,0.0,0.0,6.523690773067332,0.3266832917705736,0.0,54.35910224438903,0.0,1.0,oz
Forbidden Rice,Clark Kerr Campus,Dinner,27.81066176470588,0.27757352941176466,0.0,0.0,0.0,0.0,6.115808823529412,0.5551470588235293,0.0,0.7408088235294118,0.0,0.0,0.0,0.1838235294117647,20.011029411764703,22.235294117647054,0.0,1.0,oz
