calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vitamin_a,vitamin_c,calcium,iron,water,potassium,vitamin_d,serving_size,serving_unit,name,kitchen,meal
46.661577608142494,3.2315521628498725,0.9491094147582697,0,103.20865139949109,42.50381679389313,0.5903307888040712,0,0,3.541984732824427,0,0,17.69211195928753,0.4707379134860051,0,38.333333333333336,0,1,oz,Scrambled Eggs,Cafe 3,Breakfast
60.78605769230769,3.735576923076923,0.3125,0,0,124.61298076923076,6.230769230769231,0.3125,0,0.6225961538461537,0,0,0,0.8701923076923077,0,109.03846153846155,0,1,oz,Potato Wedges,Cafe 3,Breakfast
39.278124999999996,0,0,0,0,0,8.721874999999999,0.21874999999999997,0,0.871875,0,0,0,0,17.009375,5.453124999999999,0,1,oz,Jasmine Rice,Cafe 3,Breakfast
49.22,3.465,1.115,0,100.33,48.0275,0.6075,0,0,3.64,0,0,24.995,0.4525,0,37.62,0.0075,1,oz,Cheddar Eggs Scramble,Cafe 3,Breakfast
55.725,4.05,1.01,0,20.25,197.435,0.505,0,0,4.555,0,0,6.58,0.505,0,70.875,0,1,oz,Turkey Sausage Link,Cafe 3,Breakfast
11.257425742574256,0.3341584158415842,0.05198019801980198,0,0,26.646039603960396,1.8366336633663367,0.5544554455445545,0.7301980198019802,0.5222772277227723,14.311881188118813,16.626237623762375,7.418316831683168,0.18316831683168316,25.103960396039604,79.02227722772277,0,1,oz,Roasted Vegetables,Cafe 3,Breakfast
98.1888888888889,4.9111111111111105,2.7222222222222223,0,10.9,98.13333333333333,12,0,1.0888888888888888,1.0888888888888888,0,0,0,0.22222222222222224,0,10.9,0,1,oz,Mini Butter Croissant,Cafe 3,Breakfast
85.768,4.616,0.992,0,3.2960000000000003,49.448,9.888,0,4.816,0.6639999999999999,0,0,0,0.24,0,0,0,1,oz,Mini Apple Coronet Danish,Cafe 3,Breakfast
98.96000000000001,5.936,2.304,0,6.5920000000000005,29.663999999999998,9.888,0,3.968,1.3199999999999998,0,0,19.776,2.568,0,19.776,0,1,oz,Mini Cinnamon Swirl Danish,Cafe 3,Breakfast
99.288,6.3759999999999994,2.48,0,7.087999999999999,53.152,8.504000000000001,0.712,1.8960000000000001,1.416,0,0,18.424,0.256,0,0,0,1,oz,Mini Cheese Plait Danish,Cafe 3,Breakfast
109.50399999999999,7.4239999999999995,3.04,0,3.376,54,9.352,0.6719999999999999,3.4,1.192,0,0,17.552,0.24,0,0,0,1,oz,Mini Maple Pecan Danish,Cafe 3,Breakfast
15.666107382550337,0.24664429530201343,0.04194630872483222,0,0,32.95302013422819,2.7181208053691273,0.41107382550335575,0,0.49328859060402686,0,0,1.1543624161073824,0.16442953020134227,24.33724832214765,14.832214765100673,0,1,oz,Oatmeal,Cafe 3,Breakfast
33.11295681063123,1.5913621262458473,0.12292358803986712,0,0,53.8405315614618,4.209302325581396,0.45514950166112966,0.34219269102990035,0.504983388704319,0,2.2724252491694354,2.8803986710963456,0.20265780730897012,21.38538205980067,121.13289036544852,0,1,oz,Home Fries,Cafe 3,Breakfast
70.92,4.537142857142857,1.9857142857142858,0,0,153.0885714285714,2.2685714285714287,0.8514285714285714,2.834285714285714,4.82,0,0,22.111428571428572,1.1742857142857144,0,68.03999999999999,0,1,oz,Vegan Italian Sausage,Cafe 3,Breakfast
45.59903381642513,3.415458937198068,0.06280193236714976,0,0,97.49275362318842,0.6714975845410628,0.03864734299516909,0.028985507246376812,2.8840579710144927,0.6859903381642513,0.2560386473429952,0.9855072463768116,0.3623188405797102,1.2318840579710144,43.83574879227053,0,1,oz,Vegan Scrambled Egg,Cafe 3,Breakfast
71.73449131513647,5.2109181141439205,1.531017369727047,0,0,96.87096774193547,1.4913151364764266,0.4962779156327543,0,4.967741935483871,0,0,5.012406947890819,1.1166253101736971,0,0,0,1,oz,Vegan Breakfast Sausage Patty,Cafe 3,Breakfast
47.136222910216716,1.5681114551083593,0.1873065015479876,0,10.537151702786376,73.96439628482972,5.097523219814241,0.030959752321981428,4.027863777089784,2.9195046439628483,0.6145510835913313,0.23219814241486067,0.8839009287925697,0.20743034055727555,1.1052631578947367,3.393188854489164,0,1,oz,Mandarin-style Orange Chicken,Cafe 3,Lunch
35.193548387096776,1.1344086021505377,0.04301075268817204,0,0,47.91935483870967,4.39426523297491,0.4032258064516129,1.9695340501792116,1.9086021505376345,1.9820788530465951,4.21326164874552,28.10035842293907,0.044802867383512544,10.439068100358423,42.064516129032256,0,1,oz,Fried Orange Tofu,Cafe 3,Lunch
24.137195121951223,1.4634146341463414,0.17378048780487804,0,0,152.82926829268294,2.3780487804878048,0.6189024390243902,0.7073170731707317,0.6219512195121951,3.8902439024390247,9.009146341463415,10.225609756097562,0.22560975609756098,15.975609756097562,79.6890243902439,0,1,oz,Bell Pepper Brussel Sprout Mushroom and Zucchini,Cafe 3,Lunch
39.278124999999996,0,0,0,0,0,8.721874999999999,0.21874999999999997,0,0.871875,0,0,0,0,17.009375,5.453124999999999,0,1,oz,Jasmine Rice,Cafe 3,Lunch
74.15454545454544,5.313636363636363,0.40909090909090906,0,0,127.72272727272727,6.159090909090909,0.45454545454545453,0,0.9136363636363635,0,0,9.122727272727271,0.25,0,43.33181818181818,0,1,oz,Vegetable Spring Rolls,Cafe 3,Lunch
